Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,class_label,subtype
6,227236,11,15,1671.0,6739.0,960.0,0.0,151.9090909090909,299.5808587161251,1320.0,0.0,449.26666666666665,546.7436676315859,37009.98081289937,114.41849002798853,9089.44,21509.40593686089,98577.0,0.0,205118.0,20511.8,30892.930970621022,98577.0,78.0,213637.0,15259.785714285712,33109.65905123475,121014.0,0.0,0,220,324,48.40782270414899,66.01066732383953,0.0,1320.0,311.4814814814815,470.0399631431002,220937.566951567,0,1,0,0,1.0,323.46153846153845,151.9090909090909,449.26666666666665,11,1671,15,6739,1043,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,446630,9,12,881.0,5732.0,651.0,0.0,97.88888888888889,211.380843765728,1220.0,0.0,477.6666666666666,544.0628862938771,14806.43933457224,47.01878512415198,22331.5,66924.92006050707,301496.0,0.0,431509.0,53938.625,103043.60716281724,301496.0,167.0,379862.0,34532.90909090909,94583.11144010282,318247.0,0.0,0,180,264,20.15090791035085,26.86787721380113,0.0,1220.0,300.5909090909091,460.3270741022248,211901.0151515152,0,1,0,0,1.0,314.9047619047619,97.88888888888889,477.6666666666667,9,881,12,5732,166,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,0,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,20,0.0,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,0,1,1,0.0,41.0,15.5,46.0,2,31,1,46,166,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,5107,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.6193459956921,5107.0,0.0,5107.0,5107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,20,195.8096729978461,195.8096729978461,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,0.0,0.0,0.0,1,0,1,0,1043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,258099,8,14,317.0,5550.0,99.0,0.0,39.625,46.13934639452845,1220.0,0.0,396.4285714285714,514.7022611009374,22731.58749162143,85.23860999073997,12290.428571428572,27741.782533880963,111431.0,0.0,250914.0,35844.857142857145,60439.10751168917,166092.0,103.0,256578.0,19736.76923076923,36173.55200777184,111431.0,0.0,0,160,304,30.995858178450906,54.24275181228908,0.0,1220.0,255.08695652173907,435.6283771793942,189772.08300395252,0,1,0,0,1.0,266.6818181818182,39.625,396.4285714285714,8,317,14,5550,166,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,0,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,20,0.0,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,0,1,1,0.0,41.0,15.5,46.0,2,31,1,46,166,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,810946,9,19,1050.0,12939.0,820.0,0.0,116.66666666666669,266.87871777269913,1220.0,0.0,680.9999999999999,569.0134737713452,17250.223812682965,34.52757643542234,30035.03703703704,115428.5314944278,599714.0,0.0,794942.0,99367.75,229470.8176477536,663694.0,184.0,810080.0,45004.44444444444,141152.49750294987,599714.0,0.0,0,192,404,11.098149568528608,23.429426866893728,0.0,1220.0,482.3793103448276,553.6799884018297,306561.52955665026,0,1,0,0,2.0,499.6071428571428,116.66666666666669,681.0,9,1050,19,12939,166,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,0,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,20,0.0,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,0,1,1,0.0,41.0,15.5,46.0,2,31,1,46,166,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,39356,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.63634515702816,13118.666666666666,11861.948504918291,23227.0,60.0,16069.0,16069.0,0.0,16069.0,16069.0,23227.0,23227.0,0.0,23227.0,23227.0,0,40,64,50.81817257851407,50.81817257851407,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1.0,0.0,0.0,0.0,2,0,2,0,65535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
6,1931831,9,15,307.0,5933.0,107.0,0.0,34.111111111111114,51.32602761865671,1220.0,0.0,395.53333333333336,501.44603279866897,3230.0962144204123,12.423446978540047,83992.65217391304,338711.3932903523,1635086.0,0.0,1919678.0,239959.75,564511.1126282508,1635086.0,298.0,296686.0,21191.85714285714,37532.28198776077,130088.0,0.0,0,180,324,4.658792616952518,7.76465436158753,0.0,1220.0,249.6,425.2947997174038,180875.66666666663,0,1,0,0,1.0,260.0,34.111111111111114,395.53333333333336,9,307,15,5933,166,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGIT,none
